2025-03-19 18:17:10,637 - rpi_executor - INFO - \u8bbe\u5907ID: rpi_DESKTOP-H8AIND2
2025-03-19 18:17:10,638 - rpi_executor - INFO - MQTT\u4ee3\u7406\u670d\u52a1\u5668: localhost:1883
2025-03-19 18:17:10,639 - rpi_executor - INFO - \u6b63\u5728\u8fde\u63a5\u5230MQTT\u4ee3\u7406\u670d\u52a1\u5668 localhost:1883...
2025-03-19 18:17:14,686 - rpi_executor - ERROR - \u8fde\u63a5MQTT\u4ee3\u7406\u670d\u52a1\u5668\u5931\u8d25: [WinError 10061] \u7531\u4e8e\u76ee\u6807\u8ba1\u7b97\u673a\u79ef\u6781\u62d2\u7edd\uff0c\u65e0\u6cd5\u8fde\u63a5\u3002
2025-03-19 18:17:14,686 - rpi_executor - ERROR - \u65e0\u6cd5\u8fde\u63a5\u5230MQTT\u4ee3\u7406\u670d\u52a1\u5668\uff0c\u7a0b\u5e8f\u9000\u51fa
2025-03-19 18:51:50,234 - rpi_executor - INFO - \u8bbe\u5907ID: rpi_DESKTOP-H8AIND2
2025-03-19 18:51:50,235 - rpi_executor - INFO - MQTT\u4ee3\u7406\u670d\u52a1\u5668: localhost:1883
2025-03-19 18:51:50,236 - rpi_executor - INFO - \u6b63\u5728\u8fde\u63a5\u5230MQTT\u4ee3\u7406\u670d\u52a1\u5668 localhost:1883...
2025-03-19 18:51:50,241 - rpi_executor - INFO - \u5df2\u8fde\u63a5\u5230MQTT\u4ee3\u7406\u670d\u52a1\u5668
2025-03-19 18:51:50,242 - rpi_executor - INFO - \u5df2\u53d1\u5e03\u8bbe\u5907\u72b6\u6001: online
2025-03-19 18:51:50,242 - rpi_executor - INFO - \u5df2\u8ba2\u9605\u547d\u4ee4\u4e3b\u9898: device/rpi_DESKTOP-H8AIND2/command
2025-03-19 18:51:50,243 - rpi_executor - INFO - \u5df2\u53d1\u5e03\u8bbe\u5907\u72b6\u6001: online
2025-03-19 18:51:50,801 - rpi_executor - WARNING - \u83b7\u53d6Windows CPU\u6e29\u5ea6\u5931\u8d25: <x_wmi: Unexpected COM Error (-2147217396, 'OLE error 0x8004100c', None, None)>
2025-03-19 18:52:50,493 - rpi_executor - WARNING - \u83b7\u53d6Windows CPU\u6e29\u5ea6\u5931\u8d25: <x_wmi: Unexpected COM Error (-2147217396, 'OLE error 0x8004100c', None, None)>
2025-03-19 18:53:51,213 - rpi_executor - WARNING - \u83b7\u53d6Windows CPU\u6e29\u5ea6\u5931\u8d25: <x_wmi: Unexpected COM Error (-2147217396, 'OLE error 0x8004100c', None, None)>
2025-03-19 18:54:51,915 - rpi_executor - WARNING - \u83b7\u53d6Windows CPU\u6e29\u5ea6\u5931\u8d25: <x_wmi: Unexpected COM Error (-2147217396, 'OLE error 0x8004100c', None, None)>
2025-03-19 18:55:52,697 - rpi_executor - WARNING - \u83b7\u53d6Windows CPU\u6e29\u5ea6\u5931\u8d25: <x_wmi: Unexpected COM Error (-2147217396, 'OLE error 0x8004100c', None, None)>
2025-03-19 18:56:53,373 - rpi_executor - WARNING - \u83b7\u53d6Windows CPU\u6e29\u5ea6\u5931\u8d25: <x_wmi: Unexpected COM Error (-2147217396, 'OLE error 0x8004100c', None, None)>
2025-03-19 18:57:54,078 - rpi_executor - WARNING - \u83b7\u53d6Windows CPU\u6e29\u5ea6\u5931\u8d25: <x_wmi: Unexpected COM Error (-2147217396, 'OLE error 0x8004100c', None, None)>
2025-03-19 18:58:54,754 - rpi_executor - WARNING - \u83b7\u53d6Windows CPU\u6e29\u5ea6\u5931\u8d25: <x_wmi: Unexpected COM Error (-2147217396, 'OLE error 0x8004100c', None, None)>
2025-03-19 18:59:55,423 - rpi_executor - WARNING - \u83b7\u53d6Windows CPU\u6e29\u5ea6\u5931\u8d25: <x_wmi: Unexpected COM Error (-2147217396, 'OLE error 0x8004100c', None, None)>
2025-03-19 19:00:56,106 - rpi_executor - WARNING - \u83b7\u53d6Windows CPU\u6e29\u5ea6\u5931\u8d25: <x_wmi: Unexpected COM Error (-2147217396, 'OLE error 0x8004100c', None, None)>
2025-03-19 19:01:56,813 - rpi_executor - WARNING - \u83b7\u53d6Windows CPU\u6e29\u5ea6\u5931\u8d25: <x_wmi: Unexpected COM Error (-2147217396, 'OLE error 0x8004100c', None, None)>
2025-03-19 19:02:57,519 - rpi_executor - WARNING - \u83b7\u53d6Windows CPU\u6e29\u5ea6\u5931\u8d25: <x_wmi: Unexpected COM Error (-2147217396, 'OLE error 0x8004100c', None, None)>
2025-03-19 19:03:58,201 - rpi_executor - WARNING - \u83b7\u53d6Windows CPU\u6e29\u5ea6\u5931\u8d25: <x_wmi: Unexpected COM Error (-2147217396, 'OLE error 0x8004100c', None, None)>
2025-03-19 19:04:58,892 - rpi_executor - WARNING - \u83b7\u53d6Windows CPU\u6e29\u5ea6\u5931\u8d25: <x_wmi: Unexpected COM Error (-2147217396, 'OLE error 0x8004100c', None, None)>
